ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"68,409",2023/5/18 0:00,1067,2023/5/18 0:00,103123,1417,____  ,2,"160,000.00","167,799.00",0,0,"548,443",AT01,0,13
"68,409",2023/5/18 0:00,1067,2023/5/18 0:00,103428,239,____  ,1,"155,015.00","12,784.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,82917,239,____  ,1,"30,015.00","77,889.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,102909,1417,____  ,2,"100,000.00","127,874.00",0,0,"548,443",AT01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,20827,1461,____  ,1,"10,000.00","84,919.00",0,0,"548,443",AT01,0,7
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,84628,239,____  ,1,"50,015.00","27,874.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,20803,1417,____  ,2,"90,000.00","94,919.00",0,0,"548,443",AT01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,111924,1417,____  ,2,"70,000.00","97,859.00",0,0,"548,443",AT01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,21320,1461,____  ,1,"10,000.00","74,919.00",0,0,"548,443",AT01,0,7
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,102930,239,____  ,1,"100,015.00","27,859.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,74635,239,____  ,1,"50,015.00","24,904.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,82858,1417,____  ,2,"83,000.00","107,904.00",0,0,"548,443",AT01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,112801,239,____  ,1,"90,015.00","7,844.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,193944,239,____  ,1,"200,015.00","7,814.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/16 0:00,1067,2023/5/16 0:00,193824,1417,____  ,2,"199,985.00","207,829.00",0,0,"548,443",AT01,0,103
"68,409",2023/5/23 0:00,1067,2023/5/22 0:00,221252,1417,____  ,2,"100,000.00","157,754.00",0,0,"548,443",AT01,0,7
"68,409",2023/5/23 0:00,1067,2023/5/22 0:00,221432,1417,____  ,2,"100,000.00","257,754.00",0,0,"548,443",AT01,0,8
"68,409",2023/5/23 0:00,1067,2023/5/23 0:00,210724,239,____  ,1,"50,015.00","207,739.00",0,0,"548,443",NB01,0,822
"68,409",2023/5/15 0:00,1067,2023/5/15 0:00,63805,239,____  ,1,"100,015.00","4,919.00",0,0,"548,443",NB01,0,822
