ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
2787,1,F,22,060000,DD,05,653  ,369  ,3,0,2022-06-28 00:00:00.0000000,2022-06-30 00:00:00.0000000,1,0,061500
2787,1,F,22,060000,DD,05,653  ,369  ,3,0,2022-06-28 00:00:00.0000000,2022-06-30 00:00:00.0000000,1,0,061500
2787,1,F,22,060000,DD,05,653  ,369  ,3,0,2022-06-28 00:00:00.0000000,2022-06-30 00:00:00.0000000,1,0,061500
5897,1,M,30,060000,DD,05,884  ,500  ,3,0,2021-12-29 00:00:00.0000000,2021-12-31 00:00:00.0000000,1,0,061100
324822,1,F,41,060000,DD,05,830  ,830  ,3,0,2023-04-07 00:00:00.0000000,2023-04-11 00:00:00.0000000,1,0,061500
324822,1,F,41,060000,DD,05,830  ,830  ,3,0,2023-04-07 00:00:00.0000000,2023-04-11 00:00:00.0000000,1,0,061500
2897,0,F,65,060000,DD,  ,407  ,     ,0,1,2005-12-30 00:00:00.0000000,2020-11-13 00:00:00.0000000,0,1,060000
2897,0,F,65,060000,DD,  ,407  ,     ,0,1,2005-12-30 00:00:00.0000000,2020-11-13 00:00:00.0000000,0,1,060000
2897,0,F,65,060000,DD,  ,407  ,     ,0,1,2005-12-30 00:00:00.0000000,2020-11-13 00:00:00.0000000,0,1,060000
1381,0,F,38,060000,DD,01,111  ,111  ,3,0,2005-12-30 00:00:00.0000000,2017-07-13 00:00:00.0000000,1,1,0615G0
1381,0,F,38,060000,DD,01,111  ,111  ,3,0,2005-12-30 00:00:00.0000000,2017-07-13 00:00:00.0000000,1,1,0615G0
2485284,0,F,44,060000,DD,  ,406  ,406  ,3,1,2005-12-30 00:00:00.0000000,2022-01-03 00:00:00.0000000,1,1,0615G0
290,0,F,73,060000,DD,  ,406  ,     ,0,1,2005-12-30 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,060000
290,0,F,73,060000,DD,  ,406  ,     ,0,1,2005-12-30 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,060000
2856,0,M,70,060000,CC,  ,900  ,900  ,0,1,2005-12-30 00:00:00.0000000,2021-12-03 00:00:00.0000000,0,1,061700
2856,0,M,70,060000,CC,  ,900  ,900  ,0,1,2005-12-30 00:00:00.0000000,2021-12-03 00:00:00.0000000,0,1,061700
6156,0,M,50,060000,DD,  ,900  ,     ,3,1,2005-12-30 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,060000
750,0,M,57,060000,DD,  ,404  ,     ,0,1,2005-12-30 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,060000
1541,1,M,86,061700,DD,  ,     ,114  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
7828,1,M,89,061700,DD,  ,108  ,236  ,3,1,2004-05-08 00:00:00.0000000,2015-10-12 00:00:00.0000000,0,1,061700
4599,1,M,56,061700,DD,  ,     ,110  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
2431328,1,M,20,060000,DD,05,231  ,231  ,0,0,2019-08-05 00:00:00.0000000,2019-08-07 00:00:00.0000000,1,0,0615G0
218424,1,M,55,060000,CC,01,220  ,220  ,3, ,2004-06-09 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,1,061400
218424,1,M,55,060000,CC,01,220  ,220  ,3, ,2004-06-09 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,1,061400
218424,1,M,55,060000,CC,01,220  ,220  ,3, ,2004-06-09 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,1,061400
2836,1,M,76,061700,DD,  ,     ,     ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
